中文,英文
总是,always
有时,sometimes
火车,train
公共汽车,bus
地铁,subway
骑,ride
自行车,bike
开车,drive
汽车,car
居住,live
离开,leave
停止,stop
穿过,cross
河流,river
许多,many
村庄,village
桥,bridge
船,boat
索道,ropeway
年,year
害怕的,afraid
在...之间,between
去,go
参观,visit
远的,far
真正地,really
想,think
规则,rule
大厅,hall
打架,fight
对不起,sorry
在外面,outside
穿,wear
重要的,important
带来,bring
制服,uniform
安静的,quiet
练习,practice
盘子,dish
在...之前,before
脏的,dirty
厨房,kitchen
更多,more
吵闹的,noisy
放松,relax
读,read
感觉,feel
严格的,strict
记住,remember
跟随,follow
运气,luck
保持,keep
头发,hair
学习,learn
熊猫,panda
动物园,zoo
老虎,tiger
大象,elephant
狮子,lion
长颈鹿,giraffe
动物,animal
可爱的,cute
懒惰的,lazy
聪明的,smart
美丽的,beautiful
吓人的,scary
种类,kind
澳大利亚,Australia
南方,south
非洲,Africa
宠物,pet
腿,leg
猫,cat
睡觉,sleep
友好的,friendly
害羞的,shy
拯救,save
忘记,forget
杀死,kill
结束,over
水,water
危险,danger
砍,cut
向下,down
树,tree
森林,forest
报纸,newspaper
使用,use
汤,soup
洗,wash
电影,movie
刚刚,just
房子,house
喝,drink
茶,tea
明天,tomorrow
游泳池,pool
商店,shop
超市,supermarket
男人,man
主人,host
学习,study
州,state
美国的,American
龙,dragon
任何,any
其他的,other
年轻的,young
孩子,child
想念,miss
希望,wish
美味的,delicious
仍然,still
客厅,living room
下雨的,rainy
有风的,windy
多云的,cloudy
晴朗的,sunny
雪,snow
天气,weather
做饭,cook
坏的,bad
公园,park
消息,message
他,him
可以,could
回来,back
问题,problem
再一次,again
干的,dry
冷的,cold
热的,hot
温暖的,warm
拜访,visit
坐,sit
果汁,juice
不久,soon
假期,vacation
困难的,hard
欧洲,Europe
某事,something
昂贵的,expensive
便宜的,cheap
钱,money
每个,each
短的,short
卷曲的,curly
直的,straight
高的,tall
中等的,medium
身高,height
瘦的,thin
重的,heavy
身材,build
今晚,tonight
小的,little
电影院,cinema
眼镜,glasses
以后,later
英俊的,handsome
演员,actor
女演员,actress
人,person
鼻子,nose
嘴巴,mouth
圆的,round
脸,face
眼睛,eye
歌手,singer
艺术家,artist
放,put
路,way
描述,describe
不同地,differently
另一个,another
结束,end
真实的,real
金发碧眼的,blonde
面条,noodle
牛肉,beef
羊肉,mutton
卷心菜,cabbage
土豆,potato
特色菜,special
愿意,would
还,yet
大的,large
订单,order
大小,size
碗,bowl
不同的,different
蛋糕,cake
蜡烛,candle
年龄,age
英国,the UK
糖果,candy
幸运的,lucky
流行的,popular
得到,get
主意,idea
回答,answer
学校旅行,school trip
艺术,art
节日,festival
亲爱的,dear
学生,student
事情,thing
学期,term
月份,month
西雅图,Seattle
华盛顿州,Washington
美国,USA
美国的,American
考试,test
爱达荷州,Idaho
音乐会,concert
客人,guest
日历,calendar
球赛,ball game
日,day
牛奶,milk
奶牛,cow
马,horse
喂养,feed
农民,farmer
相当,quite
任何事,anything
种植,grow
农场,farm
摘,pick
优秀的,excellent
国家,country
昨天,yesterday
花,flower
担心,worry
幸运地,luckily
太阳,sun
博物馆,museum
火,fire
绘画,painting
等待,wait
礼物,gift
买,buy
自然的,natural
村庄,village
海滩,beach
绵羊,sheep
游客,visitor
老鼠,mouse
蛇,snake
语言,language
旗帜,flag
外国的,foreign
南方,south
自然的,natural
演出,show
工作日,weekday
节目,program
有趣的,funny
停留,stay
习惯,habit
晚餐,dinner
得到,get
家,home
早晨,morning
跑,run
打扫,clean
走路,walk
乘,take
总是,always
有时,sometimes
通常,usually
从不,never
早的,early
晚的,late
甜的,sweet
闻,smell
任何人,anyone
任何地方,anywhere
精彩的,wonderful
很少的,few
最多的,most
某事,something
没事,nothing
每个人,everyone
我自己,myself
你自己,yourself
母鸡,hen
猪,pig
似乎,seem
无聊的,bored
某人,someone
日记,diary
活动,activity
决定,decide
尝试,try
鸟,bird
自行车,bicycle
建筑物,building
商人,trader
想知道,wonder
不同,difference
顶部,top
等待,wait
伞,umbrella
湿的,wet
因为,because of
在...下面,below
足够的,enough
饥饿的,hungry
作为,as
山,hill
鸭子,duck
不喜欢,dislike
想要,feel like
玩得愉快,have a good time
相当多,quite a few
家务,housework
几乎不,hardly
曾经,ever
一次,once
两次,twice
互联网,Internet
节目,program
满的,full
秋千,swing
也许,maybe
最少,least
咖啡,coffee
健康,health
结果,result
百分之,percent
在线,online
虽然,although
通过,through
思维,mind
身体,body
这样的,such
一起,together
死,die
作家,writer
牙医,dentist
杂志,magazine
然而,however
几乎,almost
没有一个,none
更少,less
分数,point
外向的,outgoing
两者都,both
更好的,better
大声地,loudly
安静地,quietly
勤奋的,hard-working
比赛,competition
极好的,fantastic
哪一个,which
清楚地,clearly
赢,win
虽然,though
有才能的,talented
真正地,truly
关心,care
笑,laugh
严肃的,serious
镜子,mirror
小孩,kid
只要,as long as
必要的,necessary
与...不同,be different from
使显现,bring out
与...相同,the same as
事实上,in fact
初级的,primary
信息,information
小学,primary school
触摸,touch
思考,think
心脏,heart
打破,break
害羞的,shy
大声的,loud
初级的,primary
剧院,theater
舒适的,comfortable
座位,seat
屏幕,screen
近的,close
票,ticket
最差的,worst
便宜地,cheaply
歌曲,song
音乐节目主持人,DJ
选择,choose
小心地,carefully
记者,reporter
到目前为止,so far
新鲜的,fresh
舒适地,comfortably
更坏的,worse
服务,service
相当,pretty
菜单,menu
表演,act
一餐,meal
有创意的,creative
表演者,performer
才艺,talent
普通的,common
魔术师,magician
美丽地,beautifully
取决于,be up to
角色,role
获胜者,winner
奖品,prize
每个人,everybody
例子,example
贫穷的,poor
严肃地,seriously
给,give
拥挤的,crowded
空闲的,spare
情景喜剧,sitcom
新闻,news
有教育意义的,educational
计划,plan
希望,hope
找出,find out
讨论,discussion
站立,stand
发生,happen
可能,may
期待,expect
笑话,joke
喜剧,comedy
无意义的,meaningless
动作,action
卡通,cartoon
文化,culture
著名的,famous
出现,appear
成为,become
富有的,rich
成功的,successful
可能,might
主要的,main
原因,reason
电影,film
不幸的,unlucky
失去,lose
女朋友,girlfriend
准备好的,ready
人物,character
简单的,simple
军队,army
动作电影,action movie
准备,ready to
出版,come out
嘲笑,laugh at
顺便说一句,by the way
将会,will
机器人,robot
一切,everything
纸,paper
使用,use
更少,less
污染,pollution
树,tree
将会是,be
火箭,rocket
太空,space
太空站,space station
飞,fly
拿,take
月亮,moon
落下,fall
爱上,fall in love with
可能,probably
连衣裙,dress
随意地,casually
哪一个,which
甚至,even
世界杯,the World Cup
写,wrote
我自己,myself
采访,interview
预测,forecast
将来,future
预测,prediction
实现,come true
公司,company
想法,thought
小说,fiction
不愉快的,unpleasant
科学家,scientist
已经,already
工厂,factory
简单的,simple
无聊的,bored
到处,everywhere
人类,human
形状,shape
巨大的,huge
地震,earthquake
蛇,snake
可能,probably
调查,survey
工作,work
观众,audience
伙伴,partner
外国的,foreign
个人的,personal
问题,question
打败,beat
奶酪,cheese
生病的,sick
药,medicine
建议,suggest
除...之外,besides
太...而不能...,too...to...
上大学,go to college
主持,host
专业的,professional
决心,resolution
承诺,promise
改进,improve
自我提升,self-improvement
每周的,weekly
讨论,discuss
与...有关,have to do with
写下,write down
身体的,physical
他们自己,themselves
摇动,shake
牛奶,milk
搅拌机,blender
打开,turn on
切,cut
剥,peel
倒,pour
酸奶,yogurt
蜂蜜,honey
西瓜,watermelon
勺子,spoon
添加,add
最后,finally
生菜,lettuce
三明治,sandwich
面包,bread
黄油,butter
火鸡,turkey
片,slice
超级的,super
顶部,top
食谱,recipe
检查,check
绿色,green
纸,paper
票,ticket
做香蕉奶昔,make a banana milk shake
切碎,cut up
混合,mix up
添加到,add...to...
一片,a slice of
放在,put...on...
取出,take out
准备,prepare
考试,exam
流感,flu
可用的,available
直到,until
挂,hang
抓住,catch
邀请,invite
接受,accept
拒绝,refuse
前天,the day before yesterday
后天,the day after tomorrow
照顾,look after
拒绝,turn down
旅行,take a trip
回复,reply
转发,forward
删除,delete
通过,by
高兴的,glad
悲伤的,sad
准备,preparation
胶水,glue
没有,without
惊讶的,surprised
期待,look forward to
收到来信,hear from
乔迁聚会,housewarming
开幕式,opening
音乐会,concert
校长,headmaster
事件,event
客人,guest
日历,calendar
白天,daytime
会议,meeting
视频,video
组织,organize
土豆片,potato
薯片,chip
巧克力,chocolate
心烦的,upset
出租车,taxi
建议,advice
旅行,travel
代理人,agent
专家,expert
保持,keep
素食者,vegetarian
确信,surely
是,be
经验,experience
其他的,other
解决,solve
信任,trust
青少年,teenager
正常的,normal
生气的,angry
小心的,careful
粗心的,careless
错误,mistake
理解,understanding
建议,advise
步骤,step
一半,half
中间,middle
以后,later
分成两半,in half
保持联系,stay in touch
搜索,search for
