中文,英文
海报,poster
剪刀,scissors
胶水,glue
粘贴,glue
剪纸,paper cutting
比较；对比,compare
害羞的,shy
懒惰的；懒洋洋的,lazy
响亮地,adv. loud
大声的,adj. loud
外向的,outgoing
勤奋的,hard-working
表演；执行,perform
解决；解答,solve
长笛,flute
祝贺；恭喜,congratulation
（对……表示）祝贺！,Congratulations (on ...)
奖；奖励,prize
参加；出席,attend
像……一样……,as ... as ...
除……之外（还）,besides
而且,besides
空闲的；备用的,spare
抽出；拨出,spare
空闲时间,spare time
乐事；愉快；荣幸,pleasure
有共同之处,have sth in common
外表；露面,appearance
性格；品质,personality
严肃的；严重的,serious
优势；力量,strength
事实；现实,fact
苗条的；薄的,slim
人口,population
千米；公里,km
平均的；平常的,average
降雨量,rainfall
每,per
毫米,mm
宜人的；友好的,pleasant
相像的,alike
镜子,mirror
业余爱好；兴趣,interest
使感兴趣,interest
小说,novel
差异,difference
理解力；感觉,sense
幽默；幽默感,humour
归功于；由于；因为,thanks to
较少的；更少的,less
较少地；更少地,less
较少；更少,less
坦率的；简单的,straightforward
看法；意见,opinion
犯错误,make a mistake
坦诚的；诚实的,honest
率直的；直接的,direct
相似之处,similarity
友谊；友情,friendship
米,metre
王子,prince
人物；个性,character
贫民；乞丐,pauper
交换,exchange
意外；（交通）事故,accident
偶然；意外地,by accident
预料；期待,expect
银色的,silver
一线光明,silver lining
情况；状况,situation
关心；担心,care about
伸手；达到,reach
伸手触碰,reach for
触动；触碰,touch
帮助（某人）,lend (sb) a hand
朱莉,Julie
马特,Matt
斯蒂芬,Stephen
戴安娜,Diana
爱德华,Edward
马克·吐温,Mark Twain
罗丝,Rose
芝加哥（美国城市）,Chicago
苔藓,moss
红杉；红木,redwood
猎豹,cheetah
折叠式的；可折叠的,folding
折扇,folding fan
竹；竹子,bamboo
是的；对,yeah
广受欢迎的；流行的,popular
美德；营养,goodness
工具；手段,tool
实际上；居然,actually
幼苗；嫩芽,shoot
开（枪）；射击,shoot
出现；呈现,appear
可以随便做某事,feel free (to do sth)
陆地；土地,land
降落；着陆,land
非洲的；非洲人的,African
非洲人,African
玫瑰；蔷薇,rose
牡丹；芍药,peony
莲花,lotus
蝴蝶,butterfly
翅膀；翼,wing
蛙；青蛙,frog
有……重；称重量,weigh
千克；公斤,kg
银杏,ginkgo
省份,province
散步,take a walk
关联；连接,connect
连接的；相关的,connected
与……相连；与……有关联,be connected with / to
没有；缺乏,without
想象；猜想,imagine
蜂蜜；（爱称）亲爱的,honey
失望的；沮丧的,disappointed
联系；连接,connection
授粉,pollination
花粉,pollen
行动；行为,action
确切地说；实际上,in fact
百分之……,per cent
每一百中,per cent
出于这个原因,for this reason
行星,planet
为了；以便,in order to
贮存；存储,store
百货商店；商店,store
蜂巢,honeycomb
交流；沟通,communicate
参与某事,play a part (in sth)
生态系统,ecosystem
保护；防护,protect
重要性,importance
标题；题目；名称,title
人,human
人的；人类的,human
蚂蚁,ant
有……栖息；是……的家乡,be home to sb / sth
幸福；快乐,happiness
使失望；使破灭,disappoint
蘑菇；伞菌,mushroom
吨,ton
作用；职能；角色,role
在……中发挥作用；扮演角色,play a role (in)
豌豆,pea
气候,climate
大海；海洋,ocean
除……之外；除了,except
极小的；微小的,tiny
达到；符合,live up to
精力充沛的；生机勃勃的,lively
北冰洋,the Arctic Ocean
比利,Billy
胡椒粉；菜椒,pepper
切碎；剁碎,cut up
（使）混合；融合；调配,mix
混合；混杂；混合料,mix
烘焙,bake
烤箱；烤炉,oven
将……倒入……,pour sth into sth
面粉,flour
煮沸；烧开,boil
沸腾；沸点,boil
黄油,butter
奶酪；干酪,cheese
将……切成……,cut sth in / into sth
一汤匙（的量）；餐匙；汤匙,tablespoon
捣烂；捣碎,mash
土豆泥,mashed potatoes
翻炒；炒；煸,stir-fry
处理,do with
碗；钵；盆,bowl
加热；变热,heat
热；温度；炎热天气,heat
食用油；石油；燃油,oil
平底锅；烤盘,pan
将……放回,put sth back
（使）……和……混合,mix ... with ...
简单的；朴素的,simple
材料；食材,ingredient
用法说明；操作指南,instruction
清蒸鱼,steamed fish
酸辣汤,hot and sour soup
脏乱；凌乱,mess
漂亮的；美丽的,pretty
相当；十分；非常,pretty
圣诞节,Christmas
烙饼；薄饼,pancake
梦想；梦,dream
做梦；梦见；梦想,dream
（综合性）大学；高等学府,university
去划船,go boating
回忆；记忆,memory
看得见的；可见的,visible
除……以外（还）；与……同样地,along with sb / sth
南瓜,pumpkin
果馅饼；肉馅饼,pie
（使）活跃起来；热身；预热,warm up
肉桂皮；桂皮香料,cinnamon
（使）充满；（使）填满,fill ... with ...
甜；芬芳；愉悦,sweetness
学院；大学,college
主人；东道主,host
主办；主持（活动）,host
女主人；女房东,hostess
食谱；烹饪法,recipe
奶油,cream
糕饼酥皮；面包皮,crust
混合物；结合体,mixture
最小；最少,least
至少,least
诀窍；秘密,secret
秘密的；隐秘的,secret
根据；依照,according to
每当；在任何……的时候,whenever
项目,item
意大利细面条,spaghetti
一勺的量；勺,spoon
薄片；片,slice
把……切成薄片；切；割,slice
夫妻；情侣；两人,couple
岛,island
妻子,wife
单独的；分开的,separate
（使）分开；（使）分离,separate
出生；出世,born
天生（有某方面才能）的,born
逐个地；逐一地,one by one
感恩节,Thanksgiving
过桥米线,Guoqiao Rice Noodles
